player_id,player_name,position,tweet_mentions,row_mentions,total_known_likes,total_known_retweets,aliases_seen,example_tweet
12,Trent Alexander-Arnold,Defender,34,34,0.0,1.0,alexander arnold | taa | trent | trent alexander arnold | trent|trent alexander arnold,"1-0 down at halftime, needing a goal or else you’re out of the world cup. Europe’s most creative player sitting on the bench. but southgate won’t sub on trent lol. that’s fine though at least he’ll be fresh for us!"
17,Eduardo Camavinga,Midfielder,32,32,3.0,91.0,cama_contextual | cama_contextual|camavinga | camavinga | eduardo camavinga,@_adofoasa__ Camavinga has had less touches than all the goal keepers in this World Cup
13,Bernardo Silva,Midfielder,29,29,0.0,0.0,bernardo silva | bernardo silva|bernardo_contextual|silva_contextual | bernardo_contextual | silva_contextual,"@AkpraiseMedia If all the players are off the field, the opponent can kick-off and score goal.. so that one has to stay inside the pitch… Bernardo Silva also did the same in Portugal’s match in this world cup so that other team cannot start."
11,Thiago Silva,Defender,28,28,1.0,1.0,silva_contextual | silva_contextual|thiago silva | thiago silva,At 38 years-old and 74 days Thiago Silva becomes the oldest male footballer to assist a goal in a World Cup match. 🍷 https://t.co/pPKDFpg9zk
6,João Cancelo,Defender,26,26,106.0,6.0,cancelo | joao cancelo,@austinvin07 @goal All the city players were shocking at the World Cup. Bernado Silva and Cancelo were complete shit
4,Thibaut Courtois,Goalkeeper,16,16,0.0,1.0,courtois | thibaut courtois,"Courtois was flop in Laliga but monster in #ChampionsLeague

Emi Martinez 🐐 was decent in his Mid club and has given one of the greatest #WorldCupFinal and #WorldCup performance by any Goal keeper in history like Khan and Buffon.

I look forward to seeing is rank in Ballon D'or https://t.co/4R436zmadb"
24,Moisés Caicedo,Midfielder,15,15,14.0,0.0,caicedo | moises caicedo,"A player to watch Moisés Isaac Caicedo Corozo ❤️‍🔥🥵🐐
 #FIFAWorldCup #WorldCup2022  we’re here babe! #QATECU https://t.co/I6ricXQFl7"
2,Ederson,Goalkeeper,15,15,0.0,0.0,ederson,"@Alvarez19SZN Ederson will ruin their efforts country or club who won ucl or world cup has good keeper,argentina has concede 2 goals against netherland and france and would have bootled if they didnt have martinez so forget about wining ucl as long as ederson is our keeper"
0,Aaron Ramsdale,Goalkeeper,12,12,0.0,0.0,aaron ramsdale | ramsdale,A reminder that Ramsdale has conceded zero goals in the world cup but Mr Gareth Haramball decided to start Pickford
26,Rodri,Midfielder,11,11,0.0,0.0,rodri,"@CFC_Karl Enrique's Spain had a massive issue with scoring goals. Since beating Georgia 4-0, they've only scored more than 2 goals 3 times, coming against Jordan, Iceland and Costa Rica. 18 games, including losing to Japan and Morocco in the World Cup. Played Rodri at CB etc..."
34,Kaoru Mitoma,Forward,11,11,0.0,0.0,kaoru mitoma | mitoma,"@FIFAWorldCup @adidasfootball If you watch a replay of the strike by  Kaoru Mitoma after the crazy run he had, it struck the defenders hand. You can see it on the slowmo replay from behind shown on the coverage. Pretty sure the Croatian defender was inside the box. Being direct shot on goal surprising no VAR!"
10,Rúben Dias,Defender,10,10,0.0,0.0,dias_contextual | dias_contextual|ruben dias | ruben dias | rubendias,"@City_Xtra @selecaoportugal @rubendias @BernardoCSilva it has never happened and will never happen, no ref can restart a game while a team is celebrating scoring a goal, these city fans have nothing to celebrate on this world cup becos their players are doing nothing now they are giving us stupid stories full of nonsense"
8,Luke Shaw,Defender,10,10,0.0,0.0,luke shaw | luke shaw|shaw_contextual | shaw_contextual,*A reminder that Rashford has finished as England's joint top scorer at the world cup. Saka has finished with two goals despite playing more minutes. Ben White and Ramsdale haven't played a single minute while Maguire and Shaw were key players of the squad playing every minute!*
9,Nathan Aké,Defender,8,8,0.0,0.0,ake | nathan ake,@AbzSemtex @Goat7ii @SazMCFC @goal @FIFAWorldCup Warra wc for ake
5,Antonio Rüdiger,Defender,5,5,0.0,0.0,antonio rudiger|rudiger | rudiger,"Antonio Rüdiger: ‘Never count Germany out – anything can happen’
#WorldCup2022 #Germany #Rüdiger https://t.co/nJw0ShUjus"
19,İlkay Gündoğan,Midfielder,1,1,0.0,0.0,gundogan,"""Please we really need your help.
If you can't help, please repost🥺

Gundogan| Spain | Japan #FIFAWorldCup #NairaRedesign #nairanotes #Asiwajutinubu #ASUU #PeterObi4President https://t.co/WzdMqGUebD"""
